Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2949,45,7,30,-2,4849,222,224,137,6035,Rawah,C4744,1
2314,343,5,272,69,323,210,232,161,741,Cache,C2703,1
2939,156,9,42,7,4194,231,241,142,5131,Rawah,C7102,1
3017,67,17,390,-27,2948,234,204,96,150,Rawah,C7745,0
2978,33,20,339,69,4566,212,191,107,4365,Rawah,C7745,0
3044,263,6,256,18,679,206,243,175,872,Commanche,C4758,0
2278,10,23,361,97,870,189,187,129,859,Cache,C4703,5
2346,113,34,170,95,1529,254,183,26,382,Cache,C2704,2
3124,322,14,636,203,3215,183,225,181,2288,Commanche,C7755,0
2592,125,42,60,37,1717,248,173,0,1340,Commanche,C4758,1
3082,63,15,153,14,853,232,209,106,2072,Rawah,C7745,0
2945,105,17,210,48,3915,247,216,91,5198,Rawah,C7746,1
2622,139,19,127,11,684,245,231,107,1909,Rawah,C7746,1
2424,344,21,258,98,1475,173,203,165,424,Cache,C4703,5
3294,47,22,212,26,499,221,188,91,1064,Neota,C7756,1
3061,92,6,30,5,4901,230,230,133,2106,Rawah,C7202,1
3272,329,13,618,88,690,189,225,175,644,Commanche,C7756,0
3209,13,11,543,133,1269,209,217,144,1861,Commanche,C7757,1
2126,133,31,85,35,797,251,208,60,134,Cache,C2704,3
2909,297,6,180,3,5295,202,238,175,4842,Rawah,C7202,1
2518,107,5,360,39,553,229,234,139,3522,Rawah,C6731,1
2858,219,16,60,11,837,200,254,186,175,Commanche,C7756,1
2935,225,3,67,-3,1441,215,242,164,342,Commanche,C7202,1
3248,308,12,810,111,2184,188,232,185,725,Commanche,C7756,0
2615,73,7,134,3,664,229,226,131,6125,Rawah,C7745,4
2934,81,9,313,31,3510,232,225,125,4614,Rawah,C4744,1
2881,178,15,541,93,1500,225,248,150,1544,Commanche,C2705,1
2844,59,8,90,14,1300,227,223,130,2505,Commanche,C7755,1
2706,78,17,30,10,1572,240,206,91,646,Rawah,C7102,1
3343,337,16,540,115,1950,184,217,171,1074,Commanche,C7755,0
2641,216,4,153,64,1316,215,244,165,1452,Commanche,C4704,1
3177,352,10,30,3,663,203,223,158,1026,Neota,C7700,1
3286,135,6,0,0,5682,230,237,140,685,Rawah,C8771,0
2893,35,14,108,7,5049,218,209,124,4324,Rawah,C7745,1
2909,17,15,342,57,3576,207,208,136,5280,Rawah,C7745,1
2685,124,17,242,1,1443,246,226,102,860,Commanche,C2703,2
1933,331,32,60,37,108,128,181,182,417,Cache,C4703,2
2187,7,28,42,3,459,175,173,125,541,Cache,C4703,5
3371,292,5,175,12,1570,205,239,172,892,Commanche,C8771,6
2636,326,5,60,2,1350,206,234,166,108,Rawah,C4201,1
3212,158,19,283,-118,457,237,240,125,3578,Neota,C7701,1
3201,148,4,511,26,3891,226,239,148,4213,Rawah,C7745,0
2844,22,3,457,56,3305,218,233,153,6390,Rawah,C4744,1
2524,275,10,270,41,437,192,243,190,162,Cache,C2717,1
2896,201,10,382,51,3180,216,249,167,2474,Rawah,C4744,1
3044,175,14,85,26,6622,227,247,149,3180,Rawah,C7746,1
2882,8,16,42,6,1200,199,205,141,1952,Commanche,C7202,1
2904,309,21,295,99,1146,157,221,202,1159,Commanche,C4758,1
3002,160,19,124,29,2773,236,240,126,1584,Commanche,C7757,1
2563,318,22,120,44,997,157,214,194,497,Commanche,C7757,5
3099,83,10,424,-83,1785,235,222,119,1482,Rawah,C7745,0
3323,124,20,212,1,721,249,221,92,4061,Neota,C7756,1
3010,34,14,323,11,1048,217,210,125,1703,Commanche,C7756,0
2763,348,14,134,32,1666,193,216,161,2375,Rawah,C4744,1
2949,350,14,900,183,2483,194,216,159,812,Commanche,C4704,1
3443,264,6,849,206,3489,204,243,178,518,Commanche,C8771,0
2932,315,29,306,162,700,129,201,205,1199,Commanche,C7757,0
2796,0,9,573,81,2975,206,222,154,1443,Commanche,C7756,1
3237,98,2,361,103,2378,222,236,151,3302,Commanche,C7755,0
3107,354,11,67,3,1073,202,221,157,2658,Rawah,C7746,0
2704,311,20,67,24,1610,164,222,197,2239,Commanche,C4703,1
3015,190,7,607,105,1855,220,246,160,2274,Commanche,C7756,1
3604,315,23,384,192,3121,154,215,198,1406,Rawah,C8776,0
3136,260,14,95,16,5647,186,247,199,2674,Rawah,C7201,1
3419,327,17,510,63,1826,176,218,181,552,Commanche,C8772,6
3223,6,4,120,12,1248,214,231,154,2708,Commanche,C7756,1
2774,174,19,60,11,3750,227,246,143,1288,Rawah,C7745,1
2930,61,11,150,18,3395,229,217,120,1250,Rawah,C7745,1
3166,293,9,150,29,2197,195,238,183,700,Commanche,C7756,0
3327,223,11,469,48,3382,206,251,180,1365,Commanche,C7756,1
2308,23,23,150,49,240,200,184,112,1012,Cache,C4703,1
3007,180,15,240,33,1595,224,248,152,3531,Rawah,C7201,0
3043,116,7,201,30,1142,233,233,133,2758,Rawah,C7745,1
2209,330,38,90,52,1368,106,165,183,1216,Cache,C4703,2
2725,301,18,30,8,1338,165,229,203,1507,Commanche,C4758,1
2944,68,10,658,75,1153,231,220,121,1579,Commanche,C7756,1
3006,333,7,67,9,4273,203,230,166,612,Rawah,C7745,1
3311,146,16,706,154,1129,240,236,120,1296,Commanche,C8776,1
2895,85,6,534,25,2797,228,230,136,2230,Rawah,C7745,1
3084,55,13,67,7,3298,228,211,113,1332,Commanche,C7202,0
2479,318,13,108,13,1328,186,228,182,812,Commanche,C2703,2
3148,173,8,60,0,330,225,244,152,1470,Rawah,C7202,0
2782,73,28,190,94,1507,239,175,48,1110,Commanche,C7757,1
3213,330,25,247,34,4524,154,202,183,1598,Rawah,C8771,0
2977,334,14,170,40,3852,187,221,172,1332,Rawah,C7745,1
2885,206,7,309,54,2797,216,247,166,2325,Rawah,C4744,1
2993,44,13,201,3,3606,222,211,121,2197,Rawah,C7745,0
2515,205,27,234,106,1396,192,252,180,886,Commanche,C2705,2
2861,22,11,234,12,3085,213,216,138,2431,Rawah,C7745,1
3275,1,13,488,75,1194,201,215,151,390,Rawah,C7201,0
2810,211,12,124,10,2096,210,251,175,2188,Commanche,C7702,1
3058,91,12,390,3,649,238,222,113,1209,Commanche,C7756,0
2615,195,11,212,15,890,218,249,164,2340,Rawah,C4744,1
2826,290,21,120,30,3988,156,232,214,834,Rawah,C7745,1
2786,107,10,175,15,1006,237,228,121,2486,Commanche,C4704,1
2934,7,16,190,37,4357,198,206,143,390,Rawah,C7745,0
2805,93,13,513,71,256,240,220,108,931,Commanche,C4704,1
2677,202,15,270,43,2349,211,252,172,2337,Commanche,C4703,2
2808,164,8,402,16,2147,228,243,147,2001,Rawah,C4744,1
2868,25,21,466,113,1379,205,191,116,871,Commanche,C7710,1
3394,216,13,481,102,2851,206,252,181,1307,Commanche,C7756,0
3172,135,9,297,105,4878,235,236,133,1627,Rawah,C7745,0
3309,234,8,845,95,981,206,248,179,2486,Commanche,C7202,1
3164,130,11,242,49,255,239,234,123,2197,Neota,C7756,0
3042,5,11,134,26,1187,205,218,149,2659,Commanche,C7201,0
2973,318,12,90,7,4170,188,229,180,1148,Rawah,C7745,1
2956,116,35,319,145,2272,254,184,0,1860,Commanche,C4758,1
3187,289,19,458,91,1518,165,235,208,2431,Commanche,C7757,0
3229,274,20,277,75,4685,162,241,216,3455,Rawah,C7745,0
2622,65,7,90,9,180,227,226,134,499,Commanche,C4704,1
3191,339,3,488,96,5158,212,234,160,2114,Rawah,C7101,0
3272,131,21,379,91,4170,248,224,93,1087,Commanche,C7757,0
3226,43,13,376,43,3268,222,212,122,2848,Commanche,C7756,0
2890,239,1,162,15,2030,216,240,161,1931,Commanche,C7757,1
3022,339,16,30,11,2560,184,215,169,1517,Commanche,C7757,0
2955,38,19,277,42,4657,217,196,108,4246,Rawah,C7202,0
3251,36,11,459,38,6229,219,215,130,934,Rawah,C7201,0
3366,291,4,150,10,1511,208,239,169,933,Commanche,C8771,6
2991,112,8,454,72,4994,235,231,128,5435,Rawah,C4744,1
3084,139,5,108,7,2402,228,238,144,2060,Commanche,C7756,0
2820,110,15,408,90,3150,244,223,104,2716,Rawah,C4744,1
2697,93,29,124,65,153,250,181,39,708,Rawah,C7746,4
3260,67,7,371,55,2992,228,226,132,3946,Rawah,C8776,0
3175,18,2,488,134,949,217,234,154,1365,Commanche,C7756,1
2564,124,19,85,3,1500,248,223,96,1206,Commanche,C2703,2
3254,331,17,350,36,3951,177,216,177,1617,Commanche,C7201,0
3234,18,3,240,46,1570,217,233,153,1896,Rawah,C7745,0
3120,52,17,330,14,2289,226,202,103,1698,Commanche,C7756,1
3260,90,4,150,8,6331,226,233,143,331,Rawah,C7201,0
2962,65,26,67,33,2232,234,178,59,2758,Commanche,C7757,0
2717,77,13,134,23,1633,236,215,107,1630,Commanche,C4704,1
3181,234,10,256,37,1932,202,250,184,1974,Commanche,C7755,0
3221,108,2,258,7,3730,223,236,149,3761,Rawah,C7202,0
2944,115,11,150,19,1959,239,230,120,2372,Commanche,C7756,1
3257,38,14,108,26,1732,219,209,122,2763,Rawah,C7745,0
2548,74,15,60,-2,2265,237,211,102,2335,Commanche,C4704,1
3143,166,20,350,70,1692,233,243,132,1544,Rawah,C7745,1
2705,356,11,351,11,864,202,220,155,1041,Rawah,C4744,1
3164,354,17,30,8,5142,189,207,155,1026,Rawah,C7201,0
2514,114,19,218,49,534,249,217,88,1034,Commanche,C2703,2
2919,302,13,30,3,1655,183,234,190,1312,Rawah,C7745,0
2929,304,14,134,18,1116,181,232,191,2969,Rawah,C7201,0
3294,322,9,60,5,2190,198,232,173,2121,Neota,C8771,1
3212,144,15,474,110,361,240,236,120,4428,Neota,C7201,1
2361,351,12,446,236,914,198,219,159,1388,Cache,C2717,2
2768,42,6,30,-2,1470,221,226,140,1668,Commanche,C6102,4
2552,321,15,134,10,1396,181,224,183,1421,Commanche,C2703,4
2886,338,5,0,0,4904,209,233,162,1357,Rawah,C7101,1
3069,181,10,228,7,180,224,247,155,1260,Commanche,C7101,1
2886,284,20,576,171,376,159,236,215,1771,Commanche,C4703,1
3289,231,9,685,173,6092,206,249,180,2911,Rawah,C7746,1
3314,14,10,454,-20,1537,210,218,144,1998,Rawah,C8703,0
3188,193,20,932,-81,4201,213,252,164,1507,Commanche,C7755,1
2706,87,9,395,-1,959,233,226,125,2059,Rawah,C7745,1
2885,29,15,268,47,1482,214,207,125,1082,Commanche,C7756,1
2838,350,16,283,17,1860,190,212,159,1517,Commanche,C7755,1
2729,231,3,30,7,2490,214,242,166,4484,Rawah,C7102,1
2228,332,23,300,102,658,159,203,179,108,Cache,C4703,5
2750,167,17,0,0,2694,231,244,138,2297,Rawah,C7746,1
3319,191,24,162,-10,2863,211,250,160,497,Commanche,C7757,0
2387,316,29,67,13,708,130,201,204,981,Commanche,C4703,5
3182,124,16,180,44,618,245,227,106,2295,Rawah,C7201,1
3090,355,24,170,48,912,173,189,148,1978,Rawah,C7745,0
2929,64,17,67,6,516,233,202,95,1616,Commanche,C7756,1
2435,40,24,60,3,1717,214,180,90,256,Commanche,C4703,2
3141,130,18,150,-14,4698,246,227,102,1234,Rawah,C7746,0
2402,349,11,60,21,845,200,222,160,437,Cache,C2717,2
2703,10,16,30,4,1710,201,206,140,1369,Rawah,C7102,0
2304,78,24,67,30,60,243,190,64,990,Commanche,C2704,2
3057,346,4,0,0,4779,212,233,159,2202,Rawah,C7202,1
2864,75,3,240,62,2081,223,234,147,2737,Rawah,C7745,1
2902,106,10,127,11,1678,238,228,120,924,Commanche,C7756,1
3014,55,14,524,41,2971,228,210,112,190,Rawah,C7745,0
2832,34,7,60,4,872,219,225,142,2449,Commanche,C6102,0
3199,220,15,631,115,6053,201,253,185,2352,Rawah,C7746,1
2949,72,16,371,145,379,236,208,98,644,Rawah,C7745,1
3417,0,10,677,218,774,205,221,153,870,Neota,C8776,0
2241,105,28,127,54,1019,253,193,47,1276,Cache,C2704,3
2132,266,31,192,96,616,127,235,238,524,Cache,C4703,2
3031,164,15,270,17,5442,233,243,137,1771,Rawah,C7745,1
2789,100,4,30,2,973,227,234,142,2910,Commanche,C7755,0
2917,26,19,85,8,1994,208,196,118,2171,Rawah,C7745,1
2761,77,9,42,-3,1383,232,224,125,2193,Rawah,C7745,1
3166,72,17,815,61,947,237,206,95,1782,Rawah,C7745,1
3185,168,12,30,3,2986,229,245,146,5112,Rawah,C7745,0
2928,89,14,360,118,360,241,216,102,716,Rawah,C7745,1
3038,199,17,1127,157,3196,212,252,170,1398,Commanche,C7757,1
3117,133,8,300,18,1302,233,236,135,2161,Rawah,C7202,0
3273,126,12,30,9,1315,240,231,119,3211,Neota,C7202,1
3211,155,5,90,-1,2455,226,240,149,1148,Rawah,C7201,0
3254,187,14,270,109,481,221,249,158,2610,Neota,C7756,0
2917,90,8,30,3,3612,232,228,129,1492,Rawah,C7746,1
2741,23,17,90,16,1589,208,202,126,2336,Rawah,C4744,1
3161,114,9,366,31,509,236,231,125,5649,Neota,C7202,0
2811,203,12,331,30,1566,214,250,170,1291,Commanche,C2705,1
3335,302,22,648,155,819,153,224,209,408,Neota,C7757,0
2826,176,16,180,36,4385,227,247,147,5024,Rawah,C7746,1
3059,15,7,454,60,2876,214,225,148,1873,Commanche,C7756,1
2427,286,17,366,-22,990,170,237,207,120,Cache,C4703,5
2736,83,9,175,20,2605,233,224,122,5165,Rawah,C4744,1
2402,358,13,457,160,1575,200,216,154,693,Cache,C2717,2
3037,73,9,510,24,3728,231,223,124,4767,Rawah,C7745,0
3284,281,6,883,174,1415,203,241,176,2766,Commanche,C7755,0
2942,60,15,134,42,495,231,207,104,2279,Rawah,C7745,1
2545,22,16,30,3,1591,208,205,130,4496,Rawah,C7745,1
3374,151,2,175,14,2568,222,239,152,2448,Rawah,C8772,6
2958,291,14,459,147,1601,180,237,197,1253,Commanche,C7755,1
2531,90,30,90,56,633,249,178,35,1172,Cache,C2705,1
2900,166,12,108,13,2397,230,244,144,2634,Commanche,C7702,1
2691,88,21,30,12,210,246,200,72,577,Rawah,C7746,4
2709,258,35,108,63,979,118,235,241,1458,Commanche,C4758,1
2463,80,18,67,10,108,241,205,87,228,Cache,C4703,1
2859,276,28,335,225,1279,134,232,231,1570,Commanche,C7757,1
2796,144,7,509,66,2863,230,239,142,1794,Commanche,C7756,1
2972,128,14,430,171,4468,242,231,114,547,Rawah,C7745,1
3128,319,28,384,82,3933,136,201,198,730,Commanche,C7700,0
2950,4,4,127,3,2067,215,232,155,335,Commanche,C7756,1
3249,38,13,90,1,702,219,212,125,2177,Rawah,C7201,0
2733,16,11,60,-1,1499,211,217,142,1350,Commanche,C4703,0
3170,311,20,725,346,1531,164,222,197,830,Commanche,C7700,0
2974,78,12,42,5,2478,235,219,114,1806,Commanche,C7756,1
2761,143,21,85,32,3518,244,231,105,1440,Rawah,C7745,1
3085,322,8,120,9,3678,200,232,171,2089,Rawah,C7202,0
3103,120,15,309,-22,1106,245,226,105,983,Rawah,C7745,0
2883,218,6,0,0,5067,214,246,168,1215,Rawah,C7102,1
2772,23,10,247,17,1464,214,219,140,569,Commanche,C7755,1
3001,36,13,301,29,5290,219,211,125,6337,Rawah,C7745,0
2972,63,11,466,-2,3282,230,218,121,5891,Rawah,C7745,0
3279,329,11,342,72,1549,194,227,173,2680,Commanche,C7756,0
2913,168,7,175,13,5557,226,243,151,4773,Rawah,C7746,1
2969,122,9,60,-4,4964,235,233,129,552,Rawah,C7746,1
2595,320,14,42,12,841,182,225,183,2210,Rawah,C7745,1
3016,99,18,30,12,2100,247,212,87,3466,Rawah,C7202,0
2144,302,33,108,87,1082,113,204,222,350,Cache,C4703,2
3009,277,12,90,26,2654,186,242,195,907,Rawah,C7745,1
2942,144,25,242,95,6050,246,226,94,4220,Rawah,C7746,1
3089,69,17,150,49,3004,236,204,94,5528,Rawah,C7745,0
2188,48,24,150,74,1084,221,182,83,1205,Cache,C2702,2
2286,306,31,42,0,1381,122,206,216,765,Cache,C4703,2
3142,150,15,201,7,2335,238,238,125,1531,Commanche,C7709,0
2581,271,34,342,120,845,114,228,242,1714,Commanche,C7710,1
2844,169,12,162,23,3058,229,245,146,2089,Rawah,C7746,1
3184,274,10,150,8,3570,193,243,189,1622,Rawah,C7201,0
3077,221,13,339,43,5961,204,252,182,2134,Rawah,C7745,1
3282,343,13,30,3,684,194,220,165,875,Neota,C7756,0
3249,292,20,408,168,4271,160,232,210,1198,Rawah,C7745,1
2946,156,14,295,24,4710,235,241,133,437,Rawah,C7746,1
3130,270,1,283,14,1910,216,238,160,2643,Commanche,C7756,1
3263,21,7,330,-15,1519,216,226,147,1589,Rawah,C8771,0
3148,246,9,153,28,5693,203,247,182,2946,Rawah,C7201,1
3381,61,21,713,99,2382,232,192,83,2081,Rawah,C8776,0
2790,15,8,90,5,418,213,223,147,830,Rawah,C7202,1
2765,331,30,234,92,1399,137,188,182,1550,Commanche,C7700,1
2326,42,27,285,84,1273,212,171,78,926,Cache,C4703,2
3371,193,9,769,42,997,220,247,162,4358,Neota,C7757,1
3118,44,13,242,10,1838,222,210,120,849,Commanche,C7755,0
2736,243,39,150,88,1581,119,237,234,1385,Commanche,C2705,1
3215,82,15,558,72,524,239,213,100,1682,Rawah,C7201,1
3215,336,18,60,22,1626,178,213,173,451,Rawah,C7202,0
3097,317,17,134,-4,3891,172,222,189,1706,Commanche,C7201,0
2737,349,16,306,70,955,189,212,160,1980,Commanche,C4758,1
2977,7,6,30,1,5428,213,228,153,2352,Rawah,C7101,0
3194,153,29,591,192,849,240,226,93,1370,Commanche,C7709,1
2200,261,3,0,0,1507,212,241,166,853,Cache,C6102,3
3025,72,12,212,52,2183,233,217,115,2650,Commanche,C7202,0
2959,353,22,150,62,1182,177,196,153,886,Commanche,C7755,1
2907,276,9,297,47,3314,196,242,186,2816,Rawah,C4744,0
3080,18,3,30,1,3922,217,233,153,2040,Rawah,C7202,0
2719,349,4,42,-3,1243,213,233,158,1972,Rawah,C4744,0
3313,87,27,175,30,5163,247,185,0,150,Rawah,C8772,0
3114,213,13,150,4,1392,208,252,177,2460,Commanche,C7757,0
2498,329,25,175,73,806,153,202,184,1697,Commanche,C4703,1
3079,152,17,85,-19,890,239,238,122,1518,Rawah,C7201,0
2840,277,4,0,0,1390,209,240,169,1379,Commanche,C7202,0
2586,66,10,216,54,830,230,219,121,3514,Rawah,C7745,1
3041,216,13,836,7,6081,206,252,181,3354,Rawah,C7745,1
2876,111,21,335,78,2982,251,211,78,268,Commanche,C4703,1
2850,145,18,108,31,2247,242,234,115,968,Commanche,C4758,4
2940,40,11,30,0,2438,221,216,129,1883,Commanche,C7201,0
2847,313,9,67,8,1224,197,234,177,1390,Commanche,C7202,0
2669,50,15,162,45,1902,226,207,111,1943,Commanche,C2705,5
3186,289,26,524,119,1677,137,226,224,3171,Rawah,C7745,0
2770,24,9,175,16,2297,216,222,142,3705,Rawah,C4744,1
3129,20,6,108,1,2509,216,227,148,1292,Rawah,C7745,0
2724,117,11,67,3,2274,238,230,121,6971,Rawah,C4744,0
3003,240,4,190,16,3983,212,243,168,871,Rawah,C7745,1
2865,129,20,67,25,4034,248,225,96,2940,Rawah,C7746,0
2961,47,10,417,8,2242,224,217,127,2324,Commanche,C7755,1
2853,43,15,451,119,240,221,205,114,979,Commanche,C4704,1
3113,346,16,255,51,3000,188,213,163,2398,Commanche,C7755,0
2922,52,8,540,124,2848,225,222,131,376,Commanche,C7756,0
3253,204,6,361,26,3535,217,246,165,1771,Rawah,C8772,0
2981,63,8,258,59,3662,227,224,131,2789,Rawah,C7745,1
3097,165,8,443,60,2147,228,243,148,1702,Commanche,C7756,1
2676,126,2,30,-1,1342,223,237,151,1529,Commanche,C6102,1
3028,288,7,30,-2,531,201,240,178,1261,Commanche,C7202,1
3116,18,5,564,35,1935,216,230,151,2716,Commanche,C7756,0
3098,94,8,134,2,700,232,229,129,1451,Rawah,C7201,0
2904,342,12,85,15,589,196,222,165,2525,Rawah,C7745,0
3087,337,5,60,16,4569,208,232,163,3163,Rawah,C7201,0
3234,35,13,433,13,3615,218,211,126,3933,Rawah,C7745,0
2803,272,29,182,82,1233,132,234,234,1575,Commanche,C4758,1
2679,127,17,190,-16,1442,246,227,103,2349,Rawah,C7746,1
3198,102,12,162,13,2791,240,224,111,5182,Rawah,C8772,0
3077,39,6,0,0,1026,221,226,141,1390,Commanche,C7757,1
3150,71,10,182,50,5402,231,221,121,319,Rawah,C7745,0
2477,11,12,120,21,242,207,214,144,1150,Cache,C4704,5
2203,290,37,216,82,618,94,206,238,470,Cache,C4703,2
2605,127,17,190,42,1489,246,226,102,1006,Commanche,C2705,2
2945,297,23,228,114,5264,149,225,214,4953,Rawah,C7700,1
2640,2,31,30,15,1044,161,164,127,3200,Rawah,C7102,1
2970,247,10,484,106,1560,200,248,186,1325,Commanche,C7755,1
3233,275,20,277,49,4103,162,240,216,1536,Commanche,C8772,0
2140,105,32,60,29,993,254,182,29,342,Cache,C2704,3
2998,176,15,240,50,2362,226,247,149,2914,Commanche,C7757,1
3094,122,17,342,102,3031,247,224,99,931,Commanche,C7757,0
2928,64,26,395,47,1921,233,179,62,3056,Commanche,C7757,1
2705,17,12,124,20,2432,210,214,140,594,Commanche,C4703,0
3146,83,13,162,57,1052,238,217,108,1100,Rawah,C7102,0
3052,333,5,30,8,1740,208,233,164,3242,Commanche,C7755,1
2728,32,14,300,48,1355,216,210,126,2971,Rawah,C7746,1
2849,271,12,120,24,2546,187,244,196,2326,Rawah,C7745,0
2926,333,18,418,135,1419,175,214,176,2402,Commanche,C7757,1
2859,22,12,42,0,3349,212,214,137,4871,Rawah,C7745,1
2692,48,7,0,0,1936,223,224,136,60,Commanche,C7757,0
3204,102,18,283,41,807,247,213,87,2780,Neota,C7202,1
2652,115,18,361,85,1116,248,220,94,3630,Rawah,C7745,1
3177,266,23,872,256,3469,154,242,223,2255,Commanche,C7709,0
3180,166,15,60,4,3301,232,244,139,3210,Rawah,C7201,0
3154,216,4,90,22,942,215,244,165,1643,Commanche,C7202,0
2937,348,24,201,92,732,167,192,158,1477,Commanche,C7700,1
2945,54,10,649,23,1050,226,218,125,693,Commanche,C7755,1
2735,34,10,300,85,1218,219,218,134,2170,Rawah,C4744,1
3104,107,9,240,29,4410,235,230,126,3227,Rawah,C7745,0
3000,313,8,30,3,808,198,234,175,1348,Neota,C7202,0
2484,21,11,30,-1,713,213,217,140,1266,Commanche,C4703,1
3268,113,15,450,-5,845,245,223,104,3325,Neota,C7756,1
2989,38,14,85,-17,2224,219,209,122,1209,Rawah,C7745,0
2953,52,3,300,-6,1155,221,233,149,2070,Rawah,C7202,1
2626,94,11,60,6,1208,238,223,115,362,Rawah,C4201,1
2742,330,4,85,12,1116,210,235,163,1714,Rawah,C4744,0
3094,32,3,361,17,2644,219,232,150,1842,Commanche,C7756,0
3159,37,7,277,43,4919,220,224,140,1471,Rawah,C7101,0
3066,315,6,60,8,4950,205,235,170,2748,Rawah,C7201,0
3077,55,4,277,33,3306,222,231,145,564,Rawah,C7745,0
2793,87,24,192,48,3059,247,193,62,1414,Commanche,C4703,1
2827,141,10,90,11,3163,235,237,132,2670,Rawah,C4744,1
3203,68,4,30,-1,5153,224,231,142,735,Rawah,C7101,0
2851,191,14,240,24,4400,218,250,162,4983,Rawah,C7746,1
3237,342,1,182,3,30,217,237,157,1106,Commanche,C7756,0
3525,190,4,277,91,2860,220,243,159,1973,Rawah,C8776,0
2744,63,3,30,5,1423,222,233,146,2602,Rawah,C7202,1
3267,29,21,324,64,849,208,191,112,1772,Neota,C8772,0
3065,358,5,67,6,1343,211,230,156,1814,Rawah,C7745,1
2756,354,12,67,15,2164,200,219,157,446,Commanche,C7755,1
2484,19,17,30,3,1505,206,203,130,849,Commanche,C4703,5
3352,87,5,323,30,1120,227,231,138,2597,Commanche,C7756,6
2271,197,22,30,7,1608,208,252,169,1068,Cache,C6102,5
